,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,1,3,1,500,20,60,32787.18,136.535,181.072,51.45183802199364,78.0916615177095,91.8847570206374,99.02630298087,102.7239264241755,104.63841969135403,105.62967520871759,106.14290018203855,106.40862509688735,106.54621811333298,106.61745545053482,106.65434683710336,106.67344341811537,106.68332296398282,106.68844870483875,106.69109874773025,106.69247026115656,106.69317926385999,106.6935511997044,106.69373716762661,106.69383015158772,106.6938882665634,106.69392313554883,106.69393475854396,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391,106.6939463815391
1,1,4,1,500,20,60,32537.259,138.599,180.381,53.96982044273614,82.23901351189613,97.04630251309275,104.80232716879249,108.86488941344618,110.99285060933232,112.10747259709238,112.69130726587773,112.99711989095806,113.1573080099523,113.2412027888596,113.28516095647215,113.30817448684573,113.32023915579914,113.32655044215917,113.32983974978328,113.331583199054,113.33248979267478,113.3329547124803,113.33319879537821,113.33332664832473,113.33341963228582,113.3334428782761,113.33345450127125,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638,113.33346612426638
2,1,5,1,500,20,60,32584.907,138.185,180.513,53.76420965874195,81.70663384258746,96.22891538000107,103.77646999490261,107.69909137809276,109.73775310233235,110.79729371613264,111.34795635679363,111.63414936608076,111.78290045785903,111.86020499852299,111.90038569271564,111.92127221497893,111.93211646944285,111.93775362208486,111.94068261685968,111.94220522922276,111.94299559289216,111.94341402071714,111.94362323462963,111.94373946458101,111.9437975795567,111.94382082554698,111.94384407153726,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239,111.94385569453239
3,1,6,1,500,20,60,32372.804,141.094,179.924,57.993352669715875,88.07958019182085,103.68794926393032,111.78536453282832,115.98620555064082,118.16555200803279,119.29616723710298,119.88273330974579,120.18702332246303,120.34488684242963,120.42678246617317,120.4692761363983,120.49131333518028,120.50275036239624,120.5086780899167,120.51174656063317,120.51335053396224,120.51418738961219,120.51460581743717,120.51481503134966,120.51493126130103,120.51500099927186,120.51502424526214,120.51504749125242,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427,120.5150707372427
4,2,3,1,500,20,60,32534.782,141.164,180.374,62.156477068305016,101.10296027621627,115.84955399680138,119.33670824414492,119.40813154926896,118.97632565689086,118.70936870455742,118.60906225651502,118.58563029831647,118.58531647744775,118.58831521019339,118.59014002043008,118.59081415414809,118.59097687608003,118.59097687608003,118.59096525308489,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976,118.59095363008976
5,2,4,1,500,20,60,32486.568,142.314,180.24,63.90196036317944,103.76217371088266,118.87093995997309,122.49931359824538,122.62777094051242,122.21722350624204,121.9560315594971,121.8559343253672,121.83150278958678,121.83043347403407,121.83307189393042,121.83478047421573,121.83545460793376,121.83561732986568,121.83562895286083,121.83560570687055,121.8355940838754,121.83558246088027,121.83558246088027,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754,121.8355940838754
6,2,5,1,500,20,60,32587.771,140.373,180.521,61.37034416913986,99.83976154160499,114.15778056246042,117.306263977468,117.18113081181049,116.66739442670345,116.37928362321853,116.2796048169136,116.26051985889673,116.26307691782712,116.26726119607686,116.26939982718228,116.2700739609003,116.27017856785655,116.27014369887112,116.27010882988571,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058,116.27009720689058
7,2,6,1,500,20,60,32659.364,139.333,180.719,59.62085094094276,97.0255612782687,111.03788971549272,114.20608573025464,114.15530486449599,113.68759554013609,113.4164543095529,113.31978585898875,113.29974781537055,113.30117744377254,113.30479219526052,113.30674485844374,113.30739574617147,113.30752359911799,113.30751197612285,113.30748873013258,113.30747710713743,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423,113.3074654841423
8,3,3,1,500,20,60,32935.194,140.752,181.481,49.4414201759398,101.40437940913438,134.01285499119757,140.6651484055817,132.126791570127,119.60632686236501,110.98642309302092,108.15272525534033,109.51878749692439,112.32613600462675,114.57662681525944,115.5203791514933,115.38774915397167,114.78085446283221,114.21605826008319,113.92949331495166,113.91169850939512,114.03525094771385,114.17257663527131,114.25407707718014,114.27074445220828,114.24763793787359,114.21537250337005,114.19326556661724,114.18629176953435,114.18998788198829,114.19729874593018,114.20305212852358,114.20542321953177,114.20503966069221,114.20344731035829,114.20197118997574,114.2012621872723,114.20123894128203,114.20157600814103,114.20192469799518,114.20213391190767,114.20216878089309,114.20211066591739,114.20202930495142,114.20197118997574,114.20195956698059,114.20195956698059,114.20197118997574,114.20198281297087,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601,114.20199443596601
9,3,4,1,500,20,60,33022.422,139.415,181.721,46.776191841289396,97.15375710314513,128.8707722041011,135.7342438171506,127.75606885537505,115.79902883693575,107.44783709219098,104.61820730280876,105.83622745531797,108.48670039764046,110.64577635151147,111.57588329145312,111.47662291297316,110.91283791080117,110.37640181618929,110.09747317886352,110.07292541313171,110.18523841515183,110.31412580823898,110.39253453344107,110.41029447001219,110.3899890975058,110.36011800000071,110.33909200179576,110.33202522075176,110.3350820684731,110.34174204468727,110.34715836042166,110.34948295944929,110.34923887655138,110.34782087114453,110.34644935771823,110.34576360100507,110.34570548602939,110.34599606090784,110.34632150477171,110.34651909568905,110.3465655876696,110.34651909568905,110.34643773472308,110.3463796197474,110.34636799675226,110.34639124274253,110.34639124274253,110.34639124274253,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328,110.3464144887328
